Q. No.,Content: Government,Option A,Option B,Option C,Answer,Level,Status
1,Which was the 1st ‘working constitution’ of the Dominion of Pakistan?,Government of India Act of 1935,Government of Pakistan Act of 1947,Government of India Act of 1947,A,E,
2,Under which Act was India divided into two nations?,Pakistan Independence Act of 1947,Indian Independence Act of 1947,Partition Act of 1947,B,E,
3,When was the 1st session of the First Constituent Assembly held?,14th August 1947,11th August 1947,10th August 1947,C,M,
4,Where was the 1st session of the First Constituent Assembly held?,"Sindh Assembly Building, Karachi","Punjab Assembly Building, Lahore","Indian Parliament, Delhi",A,M,
5,When did the First Constituent Assembly elect its 1st President?,10th August 1947,11th August 1947,12th August 1947,B,M,
6,Who was the President of the First Constituent Assembly?,Nawabzada Liaquat Ali Khan,Sir Mian Abdur Rashid,Quaid-e-Azam Mohammad Ali Jinnah,C,E,
7,Why is Jinnah officially addressed as ‘Quaid-e-Azam Mohammad Ali Jinnah’?,Assembly Resolution of 12th August 1947,It is his birth name,Declared in his last will & testament,A,E,
8,"When was the 1st Governor General, Quaid-e-Azam Mohammad Ali Jinnah sworn in?",14th August 1947,15th August 1947,16th August 1947,B,E,
9,Who was the 1st Prime Minister of the Dominion of Pakistan?,Quaid-e-Azam Mohammad Ali Jinnah,Madar-e-Millat Fatima Jinnah,Nawabzada Liaquat Khan,C,E,
10,Who administered the oath from the 1st Governor General of the Dominion of Pakistan?,Sir Mian Abdur Rashid,Maulvi Tamizuddin Khan,Abdul Wahab Khan,A,D,
11,"When did Quaid-e-Azam Mohammad Ali Jinnah deliver the famous speech:
 “You are free; you are free to go to your temples, you are free to go to your mosques….”",10th August 1948,11th August 1947,14th August 1947,B,E,
12,When did the First Constituent Assembly form the ‘Committee on Fundamental Rights of Citizens and Minorities of Pakistan’?,23rd March 2011,14th August 1973,11th August 1947,C,M,
13,When did the ‘Transfer of Power’ take place from the British Government?,11th August 1947,14th August 1947,15th August 1947?,B,E,
14,"How did Governor General of India, Lord Mountbatten announce the ‘Transfer of Power’ from the British Government?",Addressed the First Constituent Assembly,Public Address on All India Radio,Addressed the British Parliament,A,M,
15,What was the foremost task of the First Constituent Assembly?,To create employment,To develop international relations,To draft the constitution,C,E,
16,Who was the 2nd Governor General of the Dominion of Pakistan?,Khwaja Nazimuddin,Maj. General Iskander Mirza,Malik Ghulam Mohammad,A,M,
17,Who introduced the Objectives Resolution?,"Governor General, Quaid-e-Azam Mohammad Ali Jinnah","Prime Minister, Nawabzada Liaquat Ali Khan","President of the Assembly, Maulvi Tamizuddin Khan",B,M,
18,When was the Objectives Resolution adopted?,1947,1948,1949,C,M,
19,Under which Prime Minister was the ‘Rawalpindi Conspiracy Act’ passed?,Nawabzada Liaquat Ali Khan,Zulfiqar Ali Bhutto,Mian Sir Abdur Rashid,A,D,
20,Which was the 1st attempted coup in the Dominion of Pakistan?,Operation Fair Play,Rawalpindi Conspiracy Case,Attock Conspiracy,B,M,
21,Who is thought to have masterminded the Rawalpindi Conspiracy Case?,Brigadier Latif Khan,Major General Nazir Ahmed,Major General Akbar Khan,C,D,
22,Who was the 2nd Prime Minister of the Dominion of Pakistan?,Khwaja Nazimuddin,Mohammad Ali Bogra,Malik Ghulam Mohammad,A,M,
23,Who served as both the 2nd Governor General and 2nd Prime Minister of the Dominion of Pakistan?,Malik Ghulam Mohammad,Khwaja Nazimuddin,Maj. General Iskander Mirza,B,E,
24,Who was the 3rd Governor General of the Dominion of Pakistan?,Maj. General Iskander Mirza,Khwaja Nazimuddin,Malik Ghulam Mohammad,C,M,
25,Who was the 3rd Prime Minister of the Dominion of Pakistan?,Mohammad Ali Bogra,Chaudhry Mohammad Ali,Khwaja Nazimuddin,A,M,
26,Who has served as Governor General and Prime Minister of the Dominion of Pakistan?,Quaid-e-Azam Mohammad Ali Jinnah,Khwaja Nazimuddin,Maj. General Iskander Mirza,B,M,
27,Why did the First Constituent Assembly create the ‘Basic Principles Committee’?,To draft fundamental rights of citizens,To establish the judiciary,To draft the constitution,C,E,
28,When did the First Constituent Assembly adopt the ‘Report of the Basic Principles Committee’?,1949,1954,1955,B,D,
29,When was the First Constituent Assembly dissolved?,1952,1953,1954,C,D,
30,Who dissolved the First Constituent Assembly?,Ghulam Mohammad,Muhammad Ali Bogra,Maulvi Tamizuddin Khan,A,E,
31,Who challenged the First Constituent Assembly’s dissolution order in the Sindh Chief Court?,Maulvi Tamizuddin Khan,Abdul Wahab Khan,Muhammad Munir,A,D,
32,When was the Second Constituent Assembly created?,March 1955,May 1955,August 1955,B,D,
33,"In 1955, who became the 4th Prime Minister of the Dominion of Pakistan?",Huseyn Shaheed Suhrawardy,Muhammad Ali Bogra,Chaudhry Mohammad Ali,C,E,
34,Who was the 1st Prime Minister of the ‘Islamic Republic of Pakistan’?,Nawabzada Liaquat Ali Khan,Chaudhry Mohammad Ali,Huseyn Shaheed Suhrawardy,B,D,
35,Who was the 4th Governor General of the Dominion of Pakistan?,Maj. General Iskander Mirza,Mohammad Ali Bogra,Malik Ghulam Mohammad,A,M,
36,Which of the following served as Governor General and President?,Quaid-e-Azam Mohammad Ali Jinnah,Maj. General Iskander Mirza,Malik Ghulam Mohammad,B,E,
